"","ID","txt","textChecked"
"434","R_2vjnBHwR71RpfBu","people one man, one vote majority minority mob representation franchise       ","peoplee one man, one vote majority minority mob representation franchise"
"435","R_2rw4AtNxYjcGbki","opportunity freedom america republicans democrats choices        ","opportunity freedom america republicans democrats choices"
"436","R_3L7r4SJBplNwYNY","freedom fair balance political liberal united states choice supreme court president american free trade good wages transperency legislature bill rights freedom speech freedom religion right bear arms right assembly marte carte","freedom fair balance political liberal united states choice supreme court president american free trade good wages transparency legislature bill rights freedom speech freedom religion right bear arms right assembly magna carte"
"437","R_3hhTVJEqtGqmwFT","freedom fair happy government equal jury constitution declaration independence choices      ","freedom fair happy governmenternment equal jury constitution declaration independencee choices"
"438","R_33kyHfjn35dkWZf","unfair unjust social concepts sicken biased alienating instrumentalities continued social ladders       ","unfair unjust social concepts sicken biased alienating instrumentalities continued social ladders"
"439","R_2q40TvhbDC4QXJf","fake controlled opposition guise freedom control structure 2 wolves  sheep deciding  dinner        ","fake controlled opposition guise freedom control structure 2 wolves sheep deciding dinner"
"440","R_0OFbopuvpnI8Mdf","government history america united states going vote politics laws human rights civil liberties free speech equal rights     ","governmenternment history america united states going vote politics laws human rights civil liberties free speech equal rights"
"441","R_2SdfcDt3MDvxtsA","government fairness team work decision making workers meetings       ","governmenternment fairness team work decision making workers meetings"
"442","R_3LYIDuqJbRrehAc","republic freedom 50/50 voices election        ","republic freedom 50/50 voices election"
"443","R_2qDkntSoGyVwfPv","voice  people fair government choice constitution        ","voice peoplee fair governmenternment choice constitution"
"444","R_2CNV1Kw7ihg3re5","election vote freedom power  people checks balances president political parties america debate campaign democrats republicans liberals conservatives congress    ","election vote freedom power peoplee checks balances president political parties america debate campaign democrats republicans liberals conservatives congress"
"445","R_3M6z6C0jkAnPRN3","freedom order people choose america modern        ","freedom order peoplee choose america modern"
"446","R_3QMHUGPkXC27cH3","people-ruled versatile patriotic righteous involved  people  people unrestricted fair impartial elections protection human rights freedom speech    ","peoplee-ruled versatile patriotic righteous involved peoplee peoplee unrestricted fair impartial elections protection human rights freedom speech"
"447","R_vJlGHY7gy9eND7X","america voting representation populace decides free market party system capitalism       ","america voting representation populace decides free market party system capitalism"
"448","R_V2aW2bdLeUYP6cp","united states freedom forefathers democrat checks balances voting       ","united states freedom forefathers democrat checks balances voting"
"449","R_2af4Ypmnii8dKWH","america japan equality freedom election popular vote       ","america japan equality freedom election popular vote"
"450","R_4ZAyNkljXZBtaBL","freedom speech free market voting equal say  people       ","freedom speech free market voting equal say peoplee"
"451","R_1I5x6WJmO7A8EZA","voting people  say dictator king queen government  fair people rights everyone equal       ","voting peoplee say dictator king queen governmenternment fair peoplee rights everyone equal"
"452","R_pgDSlZBTDDl9SBb","united states people bill rights constitution freedom voting elections       ","united states peoplee bill rights constitution freedom voting elections"
"453","R_22s7hnu2w2l42vz","fair unite freedom country left        ","fair unite freedom country left"
"454","R_2EEHVbjKkekebba","liberty freedom hope chances opportunity fairness chance equality oppression marching justice voicing opinion right wrong     ","liberty freedom hope chances opportunity fairness chance equality oppression marching justice voicing opinion right wrong"
"455","R_5dsGfTdKQ2JfNad","together people vote equal power al gore love united strong      ","together peoplee vote equal power al gore love united strong"
"456","R_RUkss79jCjX1gA1","united states elections voting everyone  say fair open market       ","united states elections voting everyone say fair open market"
"457","R_rchzITZ94HkMv3H","freedom voting declaration independence america india politics choice illusion choice two party system majority rules     ","freedom voting declaration independencee america india politics choice illusion choice two party system majority rules"
"458","R_0PPlQqydQq4x7nL","power freedom control equality unity peace togetherness community just good righteous justice supremacy citizenship   ","power freedom control equality unity peace togetherness community just good righteous justice supremacy citizenship"
"459","R_3kHRrqFY0XcHwzU","freedom america freedom speech  people  people vote self-governed       ","freedom america freedom speech peoplee peoplee vote self-governmenterned"
"460","R_2Xmp32Z2EFSegcx"," think  founding fathers  country free public voting decisions made  people democrat party free way making decisions  restrictions        ","think founding fathers country free public voting decisions made peoplee democrat party free way making decisions restrictions"
"461","R_1GVpLZqrYGpqi8Q","elections accountability transparency progress laws due process voting       ","elections accountability transparency progress laws due process voting"
"462","R_12i4YnyE1YrGUS5","people representation one man one vote opinions majority rules freedom tyranny  majority representative government voting voice  people     ","peoplee representation one man one vote opinions majority rules freedom tyranny majority representative governmenternment voting voice peoplee"
"463","R_1GKpuoy5BH8x8g8","freedom opportunity justice voting rights        ","freedom opportunity justice voting rights"
"464","R_3R2ih2y0uyFBtb9","voting elections voters polls freedom choice candidates government constitution      ","voting elections voters polls freedom choice candidates governmenternment constitution"
"465","R_2XaOmgVX5juGUSB","choice variety power  people voting progress numbers campaigning disagreement      ","choice variety power peoplee voting progress numbers campaigning disagreement"
"466","R_1dahOvF8EsVr4FS","president equality obama democrat house senate       ","president equality obama democrat house senate"
"467","R_2wBUmHX4g2CLHan","fair people honest integrity good        ","fair peoplee honest integrity good"
"468","R_1LqEDWOmGj85MQw","vote representation fairness elections majority republic democratic justice nation independence     ","vote representation fairness elections majority republic democratic justice nation independencee"
